Model,Embedding_Dim,K,Articles,Silhouette,Davies_Bouldin,Calinski_Harabasz,Weighted_Purity,Mean_Cluster_Purity,Singleton_Clusters,Clusters_LE_5,Clusters_LE_10,Smallest_Cluster,Largest_Cluster,Average_Cluster_Size
Qwen3,1024,190,3514,0.050924163311719894,3.29100722013458,7.794784470191903,0.5401252134319864,0.5453550203018572,0,3,30,3,40,18.49473684210526
MPNet-Multilingual,768,190,3514,0.0656723603606224,2.9782430547812875,11.342535158243157,0.5196357427433125,0.5222967683217393,0,6,32,3,43,18.49473684210526
