subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
34,Bilim Felsefesi ve Tarihi,Sosyal > Sosyal > Bilim Felsefesi ve Tarihi,Sosyal,Sosyal,Bilim Felsefesi ve Tarihi,3,LEAF_SUBJECT,Sosyal > Sosyal > Bilim Felsefesi ve Tarihi,ARTICLE_SUBJECT_DATA
35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,Ziraat,Bitki Bilimleri,3,LEAF_SUBJECT,Fen > Ziraat > Bitki Bilimleri,ARTICLE_SUBJECT_DATA
36,Biyofizik,Fen > Tıp > Biyofizik,Fen,Tıp,Biyofizik,3,LEAF_SUBJECT,Fen > Tıp > Biyofizik,ARTICLE_SUBJECT_DATA
37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,Tıp,Biyokimya ve Moleküler Biyoloji,3,LEAF_SUBJECT,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,ARTICLE_SUBJECT_DATA
38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,Temel Bilimler,Biyoloji,3,LEAF_SUBJECT,Fen > Temel Bilimler > Biyoloji,ARTICLE_SUBJECT_DATA
39,Biyoloji Çeşitliliğinin Korunması,Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması,Fen,Temel Bilimler,Biyoloji Çeşitliliğinin Korunması,3,LEAF_SUBJECT,Fen > Temel Bilimler > Biyoloji Çeşitliliğinin Korunması,ARTICLE_SUBJECT_DATA
40,Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen,Tıp,Biyoteknoloji ve Uygulamalı Mikrobiyoloji,3,LEAF_SUBJECT,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,ARTICLE_SUBJECT_DATA
41,Cerrahi,Fen > Tıp > Cerrahi,Fen,Tıp,Cerrahi,3,LEAF_SUBJECT,Fen > Tıp > Cerrahi,ARTICLE_SUBJECT_DATA
42,Coğrafya,Sosyal > Sosyal > Coğrafya,Sosyal,Sosyal,Coğrafya,3,LEAF_SUBJECT,Sosyal > Sosyal > Coğrafya,ARTICLE_SUBJECT_DATA
43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen,Temel Bilimler,Çevre Bilimleri,3,LEAF_SUBJECT,Fen > Temel Bilimler > Çevre Bilimleri,ARTICLE_SUBJECT_DATA
44,Çevre Çalışmaları,Sosyal > Sosyal > Çevre Çalışmaları,Sosyal,Sosyal,Çevre Çalışmaları,3,LEAF_SUBJECT,Sosyal > Sosyal > Çevre Çalışmaları,ARTICLE_SUBJECT_DATA
45,Çevre Mühendisliği,Fen > Mühendislik > Çevre Mühendisliği,Fen,Mühendislik,Çevre Mühendisliği,3,LEAF_SUBJECT,Fen > Mühendislik > Çevre Mühendisliği,ARTICLE_SUBJECT_DATA
