subject_id,subject_name,subject_fullname
89,Hemşirelik,Sosyal > Sosyal > Hemşirelik
90,Hukuk,Sosyal > Sosyal > Hukuk
91,Hücre Biyolojisi,Fen > Tıp > Hücre Biyolojisi
92,Hücre ve Doku Mühendisliği,Fen > Mühendislik > Hücre ve Doku Mühendisliği
93,İktisat,Sosyal > Sosyal > İktisat
94,İletişim,Sosyal > Sosyal > İletişim
95,İmalat Mühendisliği,Fen > Mühendislik > İmalat Mühendisliği
96,İmmünoloji,Fen > Tıp > İmmünoloji
97,İnşaat Mühendisliği,Fen > Mühendislik > İnşaat Mühendisliği
98,İnşaat ve Yapı Teknolojisi,Fen > Mühendislik > İnşaat ve Yapı Teknolojisi
99,İstatistik ve Olasılık,Fen > Temel Bilimler > İstatistik ve Olasılık
100,İş,Sosyal > Sosyal > İş
101,İşletme,Sosyal > Sosyal > İşletme
102,İşletme Finans,Sosyal > Sosyal > İşletme Finans
103,Jeokimya ve Jeofizik,Fen > Mühendislik > Jeokimya ve Jeofizik
104,Jeoloji,Fen > Mühendislik > Jeoloji
105,Kadın Araştırmaları,Sosyal > Sosyal > Kadın Araştırmaları
106,Kadın Hastalıkları ve Doğum,Fen > Tıp > Kadın Hastalıkları ve Doğum
107,Kalp ve Kalp Damar Sistemi,Fen > Tıp > Kalp ve Kalp Damar Sistemi
108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi
109,Kentsel Çalışmalar,Sosyal > Sosyal > Kentsel Çalışmalar
110,"Kimya, Analitik","Fen > Temel Bilimler > Kimya, Analitik"
111,"Kimya, İnorganik ve Nükleer","Fen > Temel Bilimler > Kimya, İnorganik ve Nükleer"
112,"Kimya, Organik","Fen > Temel Bilimler > Kimya, Organik"
113,"Kimya, Tıbbi","Fen > Temel Bilimler > Kimya, Tıbbi"
114,"Kimya, Uygulamalı","Fen > Temel Bilimler > Kimya, Uygulamalı"
115,Klinik Nöroloji,Fen > Tıp > Klinik Nöroloji
116,Kriminoloji ve Ceza Bilimi,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi
117,"Kulak, Burun, Boğaz","Fen > Tıp > Kulak, Burun, Boğaz"
118,Kuş Bilimi,Fen > Temel Bilimler > Kuş Bilimi
119,Kültürel Çalışmalar,Sosyal > Sosyal > Kültürel Çalışmalar
120,Limnoloji,Fen > Temel Bilimler > Limnoloji
121,Madde Bağımlılığı,Sosyal > Sosyal > Madde Bağımlılığı
122,Maden İşletme ve Cevher Hazırlama,Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama
123,"Malzeme Bilimleri, Biyomalzemeler","Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler"
124,"Malzeme Bilimleri, Kâğıt ve Ahşap","Fen > Mühendislik > Malzeme Bilimleri, Kâğıt ve Ahşap"
125,"Malzeme Bilimleri, Kaplamalar ve Filmler","Fen > Mühendislik > Malzeme Bilimleri, Kaplamalar ve Filmler"
