article_id,subject_id,subject_name,subject_fullname,root_name,auto_label,main_field,sub_field,leaf_subject
94,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
95,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
95,87,Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı,Fen,True,Fen,Tıp,Halk ve Çevre Sağlığı
96,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
96,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen,True,Fen,Tıp,Mikrobiyoloji
97,25,Beslenme ve Diyetetik,Sosyal > Sosyal > Beslenme ve Diyetetik,Sosyal,True,Sosyal,Sosyal,Beslenme ve Diyetetik
98,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
99,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
100,25,Beslenme ve Diyetetik,Sosyal > Sosyal > Beslenme ve Diyetetik,Sosyal,True,Sosyal,Sosyal,Beslenme ve Diyetetik
101,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
101,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
102,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
